symbol,name,asset_class,attributes,exchange,status,tradable
PDBC,Invesco Actively Managed Exch-Traded Commodity Fd Tr Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PDCO,"Patterson Companies, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PDD,PDD Holdings Inc. American Depositary Shares,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PDEX,"Pro-Dex, Inc. Common Stock",us_equity,[],NASDAQ,active,True
PDFS,"PDF Solutions, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PDLB,"Ponce Financial Group, Inc. Common Stock",us_equity,['fractional_eh_enabled'],NASDAQ,active,True
PDP,Invesco Exchange-Traded Fund Trust Invesco Dorsey Wright Momentum ETF,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PDSB,PDS Biotechnology Corporation Common Stock,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PDYN,Palladyne AI Corp. Common Stock,us_equity,['has_options'],NASDAQ,active,True
PDYNW,Palladyne AI Corp Warrants,us_equity,[],NASDAQ,active,True
PEBK,"Peoples Bancorp of North Carolina, Inc. Common Stock",us_equity,['fractional_eh_enabled'],NASDAQ,active,True
PEBO,Peoples Bancorp Inc. Common Stock,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PECO,"Phillips Edison & Company, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PEGA,Pegasystems Inc. Common Stock,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PENG,"Penguin Solutions, Inc. Ordinary Shares",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PENN,"PENN Entertainment, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PEP,"PepsiCo, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PEPG,PepGen Inc. Common Stock,us_equity,['has_options'],NASDAQ,active,True
PEPS,Morgan Stanley ETF Trust Parametric Equity Plus ETF,us_equity,[],NASDAQ,active,True
PERI,Perion Network Ltd. Ordinary Shares,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PESI,"Perma-Fix Environmental Services, Inc. Common Stock",us_equity,['has_options'],NASDAQ,active,True
PET,Wag! Group Co. Common Stock,us_equity,[],NASDAQ,active,True
